Calling LoadDataSet
LoadDataSet function took 37623.456 ms
Selecting features with genetic algorithm.
gen	nevals	avg                                	std                                	min                                	max                                
0  	50    	[  7.50052288e-01   5.02015120e+05]	[  1.57975844e-02   5.42281611e+02]	[  7.28104575e-01   5.00984000e+05]	[  7.84313725e-01   5.03086000e+05]
1  	29    	[  7.60418301e-01   5.01857360e+05]	[  1.43118810e-02   5.99139408e+02]	[  7.28104575e-01   5.00984000e+05]	[  7.84313725e-01   5.03086000e+05]
2  	32    	[  7.71346405e-01   5.02029520e+05]	[  1.10497034e-02   4.72974978e+02]	[  7.39215686e-01   5.01099000e+05]	[  7.95424837e-01   5.03226000e+05]
3  	33    	[  7.77777778e-01   5.01981100e+05]	[  8.96449964e-03   4.45818494e+02]	[  7.61437908e-01   5.01099000e+05]	[  7.95424837e-01   5.03226000e+05]
4  	27    	[  7.81555556e-01   5.01957800e+05]	[  9.67169216e-03   3.88863009e+02]	[  7.50980392e-01   5.01099000e+05]	[  7.95424837e-01   5.02742000e+05]
5  	37    	[  7.86496732e-01   5.02024480e+05]	[  7.74845905e-03   4.14896914e+02]	[  7.62091503e-01   5.00958000e+05]	[  7.95424837e-01   5.02742000e+05]
6  	26    	[  7.90901961e-01   5.02142280e+05]	[  6.37158029e-03   3.86635748e+02]	[  7.73202614e-01   5.00958000e+05]	[  7.95424837e-01   5.02878000e+05]
7  	28    	[  7.90483660e-01   5.02048640e+05]	[  7.81165796e-03   3.43735698e+02]	[  7.62091503e-01   5.00958000e+05]	[  7.95424837e-01   5.02880000e+05]
8  	27    	[  7.91816993e-01   5.02021800e+05]	[  7.98160986e-03   2.37100232e+02]	[  7.61437908e-01   5.01323000e+05]	[  7.95424837e-01   5.02693000e+05]
9  	36    	[  7.91816993e-01   5.01854740e+05]	[  7.94513202e-03   2.56994849e+02]	[  7.50326797e-01   5.01172000e+05]	[  7.95424837e-01   5.02298000e+05]
10 	31    	[  7.94052288e-01   5.01662320e+05]	[  3.71860389e-03   2.98563658e+02]	[  7.83660131e-01   5.01013000e+05]	[  7.95424837e-01   5.02335000e+05]
11 	32    	[  7.92915033e-01   5.01419140e+05]	[  5.72835455e-03   2.82589102e+02]	[  7.72549020e-01   5.00766000e+05]	[  7.95424837e-01   5.02058000e+05]
12 	25    	[  7.92967320e-01   5.01185440e+05]	[  7.18545338e-03   2.62160803e+02]	[  7.61437908e-01   5.00598000e+05]	[  7.95424837e-01   5.01977000e+05]
13 	33    	[  7.93150327e-01   5.01021960e+05]	[  5.09341168e-03   2.34037173e+02]	[  7.72549020e-01   5.00402000e+05]	[  7.95424837e-01   5.01479000e+05]
